level,scenario,crop,hazard,mean_unweighted_grid_days,median_grid_days,p05_grid_days,p95_grid_days
all4,ssp126,all4,all,23.70992660522461,11.466111183166504,0.0,109.70343780517578
all4,ssp126,all4,dry,19.69896697998047,6.388749122619629,-2.0392544269561768,98.54304504394531
all4,ssp126,all4,wet,4.010959148406982,0.046872030943632126,-2.6193532943725586,20.68149185180664
all4,ssp585,all4,all,27.98911476135254,13.268474578857422,0.0,129.06301879882812
all4,ssp585,all4,dry,24.68694305419922,8.729754447937012,-0.8112580180168152,122.05313110351562
all4,ssp585,all4,wet,3.302175998687744,0.0,-2.8909645080566406,17.92190170288086
crop_hazard,ssp126,maiz,dry,17.1597900390625,3.3553667068481445,-2.9794328212738037,95.6005630493164
crop_hazard,ssp126,maiz,wet,3.659116268157959,0.0,-0.6666666865348816,18.947628021240234
crop_hazard,ssp126,rice,dry,18.88199234008789,0.0,-3.6978495121002197,131.82382202148438
crop_hazard,ssp126,rice,wet,4.717698574066162,0.0,-0.6764340400695801,24.3575382232666
crop_hazard,ssp126,soyb,dry,18.582515716552734,4.070864200592041,-15.407816886901855,105.01930236816406
crop_hazard,ssp126,soyb,wet,3.258016347885132,0.0,-2.1701512336730957,20.261917114257812
crop_hazard,ssp126,whea,dry,13.039945602416992,2.599863052368164,-12.814818382263184,61.20161819458008
crop_hazard,ssp126,whea,wet,2.1940741539001465,0.0,-4.8428568840026855,18.050586700439453
crop_hazard,ssp585,maiz,dry,19.976736068725586,4.558604717254639,-2.9700064659118652,122.9761734008789
crop_hazard,ssp585,maiz,wet,2.944514751434326,0.0,-0.9048879146575928,16.68408966064453
crop_hazard,ssp585,rice,dry,22.40485191345215,0.0,-5.565875053405762,162.26388549804688
crop_hazard,ssp585,rice,wet,3.8599300384521484,0.0,-0.8203026652336121,19.767005920410156
crop_hazard,ssp585,soyb,dry,21.968975067138672,5.066667079925537,-18.133333206176758,140.53335571289062
crop_hazard,ssp585,soyb,wet,2.395582914352417,0.0,-2.398071527481079,16.861719131469727
crop_hazard,ssp585,whea,dry,17.82239532470703,4.862726211547852,-12.119620323181152,79.2054672241211
crop_hazard,ssp585,whea,wet,2.0341522693634033,0.0,-5.143639087677002,17.45616912841797
